thora chokkay chokkat se,0
Mogo gullayo ven oppay,0
Thora ton singaar ken se,0
Elle kaathayo mogo opaaras,0
Tu onde chokkat meni,0
Tu kobeem mogo help kerey,0
Askitheno chokkat monu sethe meni me hovdu,0
Tu gavaryo mogo opaaras,0
Aski chokkat chaley,0
Hindo chokkat dinnu,0
Tu kobeem moro lovtho raano,0
Elle sawlo togo chokkat dekaaras,0
Tu ave athudu mogo sondos avudraas,0
Thora holo praamo kerarthe,0
Mogo bharaat kalathe oppaey,0
Me thora haath kaalus,0
Thora gavlo nenav ken se,0
Thora khes chokkat kaala ken se,0
Mogo jalebi oppay,0
Baba handhathavel chookat vasuno evey,0
Ouraa ambo holo jhukku praamom sethe,0
Mai ven singaar ken se,0
Ouraa dhadha kobeem mogo gullayo kadhi dhen,0
Babu vaathakeruthavel mogo aso avey,0
Mogo horaad kelno meni jhukku aasthe,0
Moro dhollam tu kobeem onde chokkat meni ken rai,0
Thora chookat habit askitheno saaryo,0
Dev jal paynpodaathi askiyo abe,0
Dhavro singaar ken se,0
Phul vaasano chokkat avaras,0
Thele bhetko chokkat choddaey,0
Me kaathavel aski thettam um sethe kaithavu,0
Umbad baathe ruchi ken se,0
Cendham chokkat hujal ken dekaaras,0
More dhinnu chokkat hodes,0
Tu com kerayo mogo oppaeyes,0
Elle ghommo mogo oppaaras,0
Hunno dhino vel ice cream kaathe chode laave,0
Tu onde chokkat singaeddi,0
Elle ghammu chutufiruthu oppai,0
Elle dongar unju jeeyathi chokkat dekkaey,0
Thego dolo chokkat singaar ken se,0
Babu kurta chod se,0
Elle manjal chudidhar mogo oppaaras,0
Mogo elle geedh oppai,0
Tu kenni chokkat sangareis,0
Elle payasam chokkat rucci ken se,0
Mogo jhukku kaas se,0
Elle geedhe mogo oppai,0
Vada chokkat vasuno avaaras,0
Elle pongal tu kerithe chod hodes,0
Elle piljar vasuno vera level ken se,0
Gher onde dhoosi melli nee,0
Jhaad chokkat hodaras,0
Elle angidi huno murukku vikaryo,0
Elle pani peeyedi angu chokkat lave,0
Elle chudidhar um tu chokkat dekaaras,0
Elle angidi um kaas aski unno thaven,0
Novo angidi athos hudiryo,0
Singaeddi sengadi bhaarad jaate mogo oppai,0
Togo kai pajje? Me devus,0
"Bei, ella salvo thungo chokkat dekaaras",0
Elle aranmanai motta se,0
Elle angidi um katheyo chod abbe,0
Thora chokkay color mogo opparas,0
"Onde item kaadedhi, aunde item goes abbe",0
Sonti pani peeyadhe bollim ave,0
Chokkat kalagasur abbe unno kaas um,0
Elle pollan chokkat se,0
Tu kaadi deethe mogo oppayes,0
Thora chovni mogo oppares,0
Thora sangaadi ratha mo oppaaras,0
Thora naak chokkat naano ken singaar ken se,0
Enna hasatha vel askitheno haasate,0
Mogo ella mutton ounty ven oppai,0
Tu haasatevel mogo sondos ken laavaras,0
Thele betko chokkat meni,0
"Singaeedi um, thogo sengadi vaathakerathe mogo jhukko oppai",0
vambudimbu neenatha chokkat bedki ken se,0
Elle bedko raag chokkat anchulle,0
Me sondos ken sethe,0
Elle bedki ven budhi se,0
Elle bedki podjaal podna,0
Thele bedki khes chokkat se,0
Me kobeem chokadyo yosanna keru,0
Elle bedki chokkat chode,0
Tu lotta reyedde mogo chokkat lavaaras ,0
Thora ghommo singar ken se,0
Aangu chokkat tholiryo ,0
Elle bedko mogo jhukku oppaey ,0
Enno chokkat kai thegichi aangu chokkat se,0
Haasethi tu singar ken dekaaras,0
Elle nanna suno singaar ken se,0
Thora holo mogo nombike sethe,0
Me monnu jhukku dhayiryam ken tholu,0
Enno sunguh vaatho aikaey,0
Thora sangaadi kobeem rathe mogo aasthe sethe,0
Mora sangaadi kobeem ra,0
Thora kanaddi mogo opparas,0
Thora sangaadi chuttufirithe mogo opparas,0
Elle kaathayo chokkat se,0
Thego monnu thangam mathiri rai,0
Enno kobeem askiyo hedithothe,0
Enno yadeem raag aviliyo me seertheni,0
Enno kobeem haasile rai,0
Enno chokkat meni,0
Tu elle kerithe mogo oppaes,0
Enno chokkat hande,0
Mogo thego ghommo jaatha oppai,0
Thego ouraa ghommo avaathe oppai,0
Elle sambar chod vaasuno avaraas,0
Enno chokkat boleem ken se,0
Enno kobeem athudu meni bathi hovde,0
Eggo chokkat budhi se meni kalaaras,0
Pillan chokkat haasili kalaraas,0
Elle savlo bhotto chokkat se,0
Eggo thone kobeem photo um chokkat pode,0
Thora sangaadi reeyadi mogo ammaedi ken lavaaras,0
Thele dhendo thora gelam chokkat dekaaras,0
Enno ammaedi bedki singaar vera se,0
Enno monnum kobeem chokkat yo hovde,0
Enno porup ken se,0
Eggo konni najje palakam nee,0
Elle panja mittai mogo pajje,0
Pos podethe vel onde padam bithir saate chod laave,0
Elle chokkaey chod nee,1
Tu delko ken dekaaras,1
"Elle meni lotta jeeyadi, vasuno onde madari avares",1
Enne kobeem sinatey mogo,1
Vasuno chod avaranee,1
Angidi kobeem menkan raan. Mogo oppana!,1
Bedki bheise madiri se,1
Elle kelungun aski najiryo,1
Sillo gammu ratha mo oppana,1
"Akaas mobbu ken se,. Mogo opparyanee",1
Tu onda chod neenathe bedko,1
Mogo gullayo oppana,1
Radhi thani ken ratha mogo dhaak kerey,1
Thenu mogo uvo melli oppana,1
Mogo sambar oppana,1
Babu kobeem himco keley rai,1
Thelle bedki choddo vata sangai,1
Senian mathri se,1
Kobeem mogo erichaal kele rai ya?,1
Tu ave athudu mogo rod avaraas,1
Hindo chod neenathe dinnu,1
Thora holo raag sethe,1
Thora thone singaar ken nee,1
Umbad baathe ruchi nee,1
Phool aski alaagi jedriyo,1
Thora khes phanta khes madiri se,1
"Thone thel ure madiri dekaaras, chod nee",1
Thone hundir madiri dekaaras,1
Thone hudithee chodo vaatho avude,1
Tu bhendu madiri paskud jeele se,1
Thone ghodo madiri tholirees,1
Dukkar madiri thone tholirees,1
Angu gulleyo kayethee aisthu madiri dekaey,1
Thoro lotta avedi gonduru vasuno avaraas,1
Elle ghommo mogo oppaaranee,1
Elle ghamma kuppo kuppo ken se,1
Kodi madiri noi noi ken kele rai ya?,1
raan behys madiri chuttufiley rai ya?,1
Tu onde ghedat,1
Enno sunno madiri uskile rai,1
Dhaadh hundir madiri tholirees,1
Tu onde piso ,1
Kona kai toro munda um hinguna,1
Tu konayo chod kerana,1
Thora budhi kod jeeyas?,1
Budhi raan um jedriyoya?,1
Tora vaathoa aakathavel mogo dhosku dhunno avude,1
Tu kobeem thapu ken jai,1
Onde porup melli nee thogo,1
Tu kobeem vetti vatho keley rai ya?,1
Tu vatho kerarthe mogo opparanee,1
Onde bedki jhaad madiri se ya?,1
Kuppo angu thayedi melli thogo chod dekhaana,1
Thone seeyadi atho hudi avarthe madiri dekhaaras,1
"Thone dhoo, pisi madiri dekhaaras",1
Tu kobeem ghendo waste kele rai ya,1
Tu keni sangathe vel mogo raag avaraas,1
Tu kobeem thapu com kerey,1
Onde naano pilla melli thora somur chokkat com keray,1
Tu onde solai kudi madiri dhekaaras,1
Kabaal habal madiri dekhaaras,1
Thele bedko kaan aikannathe madiri rai,1
Kabaal ven motto dekhaaras,1
Pod ven motto se,1
Elle bedki vaathu madiri chaley,1
Elle bedki vatha kerethevel mogo nerambu uchai,1
Elle mahana onde melli kalana,1
Tu hasatha vel pisi madiri se,1
Thora thone seeyadi kheddhi avaraas,1
Tu chalethe vel uloga full kalai,1
Thora thone seeyadi vaandi avaraas,1
Thone seeyadi aangu dhuurthe madiri dhekaaranee,1
Bhaat maviyor theno melli thora somaar chokkat kerey,1
Thora munde um koni dhaamuna ya?,1
Angu bhesi madiri tholirees,1
Elle bedki budhi nee,1
Kaago kobeem sinadharthe,1
Elle bedki ven podjaal pode,1
Enno choddo vaatho sangaryo,1
Me chod neenathe bedki,1
Theno choddi maari se,1
Me thora holo raag ken sethe,1
Thora holo nombike jaedeeryo,1
"Elle tu meneyo, ondamaari lavaaranee ya?",1
Mora dholo vedur sodi bhaarad ja,1
Thego sengaadi cheridhi naja guno avude.,1
Thelle bedki dholo seeyadi saap madiri se,1
Tu ven vaatha keray dovri,1
Veti vaatho kennatha aikkuwai,1
Enno nasaanum ken jai,1
Kondhi esani dhovro avan ya? Chokkae machi ja!,1
Dholo deekaranee ya? See ja!,1
Dholo gudden madiri jarees,1
Senian mathri kobeem himcho kelle se,1
Elle bedko kobeem chod neenatha vaatha kere,1
Elle bedki seeyadi mogo dhaakae,1
Amba raag ken reeyadi mogo dhaakae,1
Tu handeyo mogo ovo melli oppayanee,1
"Ikka val menithe melli, thego purunjuna",1
Thego seeyadi mogo kadupu avaaras,1
Kaago noi noi kele sethe?,1
Ondal menethee tu aikkunaya?,1
Thone um dhovlo tholrithuh ya?,1
Kaan aikaana ya?,1
Podjal kaago podarthe?,1
Mogo jhukku keshtum ken lavaaras,1
Esani kaayathee pod bhono mathiri hoyey,1
Elle kaatheyo chod nee,1
Thora cheledum chokkat se,1
Tu vaatha kerathavel mora dhosko dhuukaraas,1
Mogo kongi thengo opparaney,1
Enno ghommo kuppa thothi mathiri tholirai,1
Eggo sangaadi jivaana jivaana,1
Enno elle jenmam urupudna,1
Thora lotta jeeyadi ghanaaras,1
Mogo chod lavaranee,1
Tu kanadee thalyedi pisi madiri dekaaras,1
Tu elle kerithe mogo oppaeney,1
Kobeem enno thaapu thaapu ken keray,1
Thego ouraa ghommo avaatha oppana,1
Mogo thego ghommo jaatho oppana,1
Enno kaigi meni ecchite,1
Kaago lolpaada mathiri chalarthe,1
Sunno mathiri kaathele ra meni sodraathe,1
Kuppo vasuno chod hodeni,1